repeat,split,num_feats,fold,accuracy,permutation,run
2,6,3,Train,0.9199999999999999,0,True
2,6,3,Test,0.2857142857142857,0,True
2,6,4,Train,0.9099999999999999,0,True
2,6,4,Test,0.42857142857142855,0,True
2,6,5,Train,0.96,0,True
2,6,5,Test,0.42857142857142855,0,True
2,6,6,Train,0.96,0,True
2,6,6,Test,0.42857142857142855,0,True
2,6,7,Train,0.8933333333333333,0,True
2,6,7,Test,0.42857142857142855,0,True
2,6,8,Train,0.96,0,True
2,6,8,Test,0.42857142857142855,0,True
2,6,9,Train,0.9199999999999999,0,True
2,6,9,Test,0.42857142857142855,0,True
2,6,10,Train,0.9199999999999999,0,True
2,6,10,Test,0.42857142857142855,0,True
2,7,1,Train,0.86,0,True
2,7,1,Test,0.2,0,True
2,7,2,Train,0.8033333333333333,0,True
2,7,2,Test,0.4,0,True
2,7,3,Train,0.8833333333333334,0,True
2,7,3,Test,0.4,0,True
2,7,4,Train,0.8833333333333334,0,True
2,7,4,Test,0.4,0,True
2,7,5,Train,0.8833333333333334,0,True
2,7,5,Test,0.8,0,True
2,7,6,Train,0.8833333333333334,0,True
2,7,6,Test,0.6,0,True
2,7,7,Train,0.8033333333333333,0,True
2,7,7,Test,0.6,0,True
2,7,8,Train,0.8033333333333333,0,True
2,7,8,Test,0.8,0,True
2,7,9,Train,0.8433333333333334,0,True
2,7,9,Test,0.6,0,True
2,7,10,Train,0.8033333333333333,0,True
2,7,10,Test,0.4,0,True
2,8,1,Train,0.7233333333333334,0,True
2,8,1,Test,0.6,0,True
2,8,2,Train,0.8699999999999999,0,True
2,8,2,Test,1.0,0,True
2,8,3,Train,0.78,0,True
2,8,3,Test,0.8,0,True
2,8,4,Train,0.7633333333333334,0,True
2,8,4,Test,0.6,0,True
2,8,5,Train,0.74,0,True
2,8,5,Test,0.6,0,True
2,8,6,Train,0.82,0,True
2,8,6,Test,0.8,0,True
2,8,7,Train,0.9,0,True
2,8,7,Test,1.0,0,True
2,8,8,Train,0.86,0,True
2,8,8,Test,0.8,0,True
2,8,9,Train,0.86,0,True
2,8,9,Test,0.8,0,True
2,8,10,Train,0.9,0,True
2,8,10,Test,0.8,0,True
2,9,1,Train,0.8,0,True
2,9,1,Test,0.6,0,True
2,9,2,Train,0.8400000000000001,0,True
2,9,2,Test,0.4,0,True
2,9,3,Train,0.8,0,True
2,9,3,Test,0.6,0,True
2,9,4,Train,0.8800000000000001,0,True
2,9,4,Test,0.6,0,True
2,9,5,Train,0.8400000000000001,0,True
2,9,5,Test,0.6,0,True
2,9,6,Train,0.75,0,True
2,9,6,Test,0.4,0,True
2,9,7,Train,0.8300000000000001,0,True
2,9,7,Test,0.2,0,True
2,9,8,Train,0.8300000000000001,0,True
2,9,8,Test,0.4,0,True
2,9,9,Train,0.9099999999999999,0,True
2,9,9,Test,0.4,0,True
2,9,10,Train,0.8699999999999999,0,True
2,9,10,Test,0.4,0,True
2,10,1,Train,0.8033333333333333,0,True
2,10,1,Test,0.4,0,True
2,10,2,Train,0.8033333333333333,0,True
2,10,2,Test,0.4,0,True
2,10,3,Train,0.8133333333333335,0,True
2,10,3,Test,0.4,0,True
2,10,4,Train,0.8699999999999999,0,True
2,10,4,Test,0.6,0,True
2,10,5,Train,0.8300000000000001,0,True
2,10,5,Test,0.6,0,True
2,10,6,Train,0.8433333333333334,0,True
2,10,6,Test,0.4,0,True
2,10,7,Train,0.8833333333333334,0,True
2,10,7,Test,0.4,0,True
2,10,8,Train,0.8433333333333334,0,True
2,10,8,Test,0.4,0,True
2,10,9,Train,0.8833333333333334,0,True
